Ano;Cultura;Espécie;Estado;Área..ha.
31/12/2014;Outras culturas;Seringueira;Não informado;229059
31/12/2014;Outras culturas;Acácia;Não informado;160872
31/12/2014;Outras culturas;Teca;Não informado;87499
31/12/2014;Outras culturas;Paricá;Não informado;89081
31/12/2014;Outras culturas;Araucária;Não informado;11122
31/12/2014;Outras culturas;Pópulus;Não informado;4216
31/12/2014;Outras culturas;Outras;Não informado;6672
31/12/2015;Outras culturas;Seringueira;Não informado;229059
31/12/2015;Outras culturas;Acácia;Não informado;160827
31/12/2015;Outras culturas;Teca;Não informado;87410
31/12/2015;Outras culturas;Paricá;Não informado;90047
31/12/2015;Outras culturas;Araucária;Não informado;11038
31/12/2015;Outras culturas;Pópulus;Não informado;4216
31/12/2015;Outras culturas;Outras;Não informado;6604
31/12/2016;Outras culturas;Seringueira;Não informado;229964
31/12/2016;Outras culturas;Acácia;Não informado;159877
31/12/2016;Outras culturas;Teca;Não informado;87502
31/12/2016;Outras culturas;Paricá;Não informado;90047
31/12/2016;Outras culturas;Araucária;Não informado;11114
31/12/2016;Outras culturas;Pópulus;Não informado;4216
31/12/2016;Outras culturas;Outras;Não informado;6641
